Education_Level,Age_Group,Developer_Type,Organisation_Size,Uses_AI_Tools,Currency,Years_of_Experience,Years_of_Coding_Experience,Years_of_Pro_Coding_Experience,Current_Work_Situation,Databases,Programming_Languages,Learning_Sources,Estimated_Annual_Salary
Master's,45-54 years old,Student,100-499 employees,Yes,USD,46,49,42,Remote,Oracle;MongoDB,Python;Kotlin;C++,Online Courses or Certification;Colleague;Books / Physical media;Other online resources,149159.95
High School,25-34 years old,Student,"1,000 to 4,999 employees",No,USD,8,13,3,In-person,MongoDB;PostgreSQL,Java;Swift;Kotlin;JavaScript,Other online resources;Books / Physical media;Colleague,43534.63
Master's,18-24 years old,Senior Developer,10-99 employees,Yes,INR,40,42,39,Hybrid,MySQL;Oracle;PostgreSQL,C#;Java;Kotlin,Colleague;Books / Physical media,130184.24
PhD,55+ years old,Mid-level Developer,"5,000 to 9,999 employees",No,GBP,6,11,5,In-person,PostgreSQL;MySQL;Oracle,C#;Ruby,Other online resources;Books / Physical media,61645.94
Master's,45-54 years old,Tech Lead,500-999 employees,Yes,INR,11,11,6,Hybrid,SQLite;MongoDB;Oracle,JavaScript;C#;Ruby;Swift,Colleague,78833.81
Bachelor's,25-34 years old,Junior Developer,"10,000+ employees",No,INR,13,17,11,Remote,SQLite;MySQL,Kotlin;Swift;C#;JavaScript,Books / Physical media;Colleague;Online Courses or Certification,63082.57
PhD,25-34 years old,Senior Developer,"10,000+ employees",No,EUR,3,8,2,In-person,PostgreSQL,Ruby;Java;JavaScript;Kotlin,Books / Physical media;Online Courses or Certification,49745.71
High School,18-24 years old,Mid-level Developer,500-999 employees,Yes,GBP,48,50,43,Remote,PostgreSQL,JavaScript;Python,Colleague;Books / Physical media;Online Courses or Certification,146810.7
Master's,18-24 years old,"Senior Executive (C-Suite, VP, etc.)",10-99 employees,Yes,GBP,9,14,9,Hybrid,MongoDB;MySQL,JavaScript,Online Courses or Certification;Books / Physical media;Colleague,73414.16
PhD,35-44 years old,Mid-level Developer,10-99 employees,No,EUR,27,27,23,Remote,MySQL,Ruby;JavaScript;Go,Online Courses or Certification;Colleague;Books / Physical media,99602.8
Master's,45-54 years old,Student,"5,000 to 9,999 employees",No,EUR,48,50,48,Remote,MySQL;SQLite;Oracle,Ruby;Kotlin,Online Courses or Certification;Books / Physical media;Other online resources;Colleague,160653.3
PhD,18-24 years old,Mid-level Developer,1-9 employees,Yes,INR,47,50,44,Remote,Oracle,Kotlin;Python;Swift;C#,Colleague;Online Courses or Certification;Books / Physical media;Other online resources,154761.51
High School,45-54 years old,Junior Developer,"1,000 to 4,999 employees",Yes,INR,11,11,8,Hybrid,SQLite;MySQL;PostgreSQL,C#,Online Courses or Certification;Colleague;Books / Physical media;Other online resources,51332.08
PhD,18-24 years old,Senior Developer,"5,000 to 9,999 employees",Yes,GBP,15,16,14,Remote,MySQL,Kotlin;Go,Colleague,88266.06
Master's,35-44 years old,Student,"5,000 to 9,999 employees",Yes,EUR,13,18,9,Hybrid,Oracle;SQLite,Java;Kotlin,Other online resources,80823.56
Bachelor's,25-34 years old,Student,"10,000+ employees",Yes,INR,42,43,39,Hybrid,PostgreSQL;SQLite,Java;JavaScript,Books / Physical media;Colleague,136335.36
High School,55+ years old,Student,"10,000+ employees",No,GBP,6,8,4,Remote,SQLite;MySQL;PostgreSQL,Go,Books / Physical media,43214.99
PhD,18-24 years old,Mid-level Developer,500-999 employees,No,GBP,19,20,15,Hybrid,MongoDB;PostgreSQL,Swift;Go;C++,Colleague;Online Courses or Certification;Other online resources;Books / Physical media,84770.65
Bachelor's,18-24 years old,"Senior Executive (C-Suite, VP, etc.)",100-499 employees,No,USD,48,49,45,Remote,MongoDB,Go;Ruby;JavaScript;C#,Online Courses or Certification;Books / Physical media;Colleague,161609.24
PhD,18-24 years old,Tech Lead,"1,000 to 4,999 employees",No,USD,24,28,21,In-person,MySQL;PostgreSQL;MongoDB,Kotlin;JavaScript,Books / Physical media;Other online resources,111269.7
Bachelor's,35-44 years old,Mid-level Developer,1-9 employees,Yes,GBP,45,45,40,Hybrid,MySQL,Python;C++;Swift;Go,Colleague,133688.96
PhD,45-54 years old,Tech Lead,"5,000 to 9,999 employees",Yes,USD,30,33,29,In-person,MongoDB,Python,Online Courses or Certification;Other online resources;Colleague;Books / Physical media,141122.02
PhD,55+ years old,Student,"1,000 to 4,999 employees",No,USD,15,16,14,In-person,MySQL;Oracle,C++,Colleague,73062.63
Master's,55+ years old,Mid-level Developer,"10,000+ employees",No,INR,9,11,6,Remote,MySQL,JavaScript;Java;Ruby;Swift,Books / Physical media;Other online resources;Online Courses or Certification;Colleague,67422.67
Master's,25-34 years old,"Senior Executive (C-Suite, VP, etc.)",1-9 employees,Yes,INR,29,29,27,Hybrid,Oracle;MongoDB;SQLite,Kotlin;C++,Online Courses or Certification;Books / Physical media;Colleague,126555.4
High School,55+ years old,Student,"5,000 to 9,999 employees",Yes,EUR,32,33,32,In-person,SQLite;MongoDB,Swift,Other online resources;Online Courses or Certification;Books / Physical media;Colleague,116493.85
PhD,35-44 years old,Student,10-99 employees,Yes,USD,42,44,37,In-person,MongoDB,Swift;Go;Ruby,Books / Physical media;Other online resources;Colleague;Online Courses or Certification,147728.1
Bachelor's,55+ years old,Student,"5,000 to 9,999 employees",No,EUR,37,37,37,In-person,SQLite;PostgreSQL;Oracle,Ruby;Kotlin;Java,Colleague,119348.47
Master's,18-24 years old,Tech Lead,"5,000 to 9,999 employees",Yes,INR,11,13,7,In-person,MongoDB;MySQL,Go,Colleague;Books / Physical media,97054.58
Bachelor's,35-44 years old,Tech Lead,10-99 employees,No,GBP,47,49,46,Remote,SQLite,Swift;Python;C#;Ruby,Books / Physical media;Colleague;Other online resources,160945.43
Bachelor's,18-24 years old,Senior Developer,100-499 employees,No,INR,37,40,35,Hybrid,MongoDB;PostgreSQL;Oracle,Go;Kotlin;Ruby,Other online resources,114834.05
PhD,45-54 years old,Senior Developer,"1,000 to 4,999 employees",Yes,USD,44,47,39,Remote,PostgreSQL;Oracle;MySQL,Kotlin;Swift,Colleague,152945.77
Master's,25-34 years old,Junior Developer,"1,000 to 4,999 employees",No,GBP,42,44,42,Hybrid,PostgreSQL,JavaScript;C++;Swift;Kotlin,Books / Physical media;Online Courses or Certification,135843.76
PhD,18-24 years old,Senior Developer,500-999 employees,No,GBP,32,32,31,Hybrid,MySQL,Kotlin;Go;Ruby,Colleague;Books / Physical media,118026.68
High School,18-24 years old,Mid-level Developer,10-99 employees,Yes,GBP,11,12,11,Hybrid,SQLite;PostgreSQL,C#,Other online resources;Online Courses or Certification;Books / Physical media;Colleague,53636.17
Bachelor's,55+ years old,Senior Developer,500-999 employees,Yes,USD,7,9,6,Remote,MySQL;MongoDB;Oracle,Go;C#,Other online resources,44297.95
Bachelor's,55+ years old,Junior Developer,"1,000 to 4,999 employees",No,GBP,23,24,22,In-person,Oracle;MySQL;SQLite,Ruby,Other online resources;Colleague;Online Courses or Certification;Books / Physical media,82417.72
High School,55+ years old,"Senior Executive (C-Suite, VP, etc.)",10-99 employees,No,EUR,23,28,20,Hybrid,PostgreSQL,Go,Online Courses or Certification;Books / Physical media;Colleague;Other online resources,95258.72
Master's,45-54 years old,"Senior Executive (C-Suite, VP, etc.)","1,000 to 4,999 employees",Yes,EUR,21,25,21,In-person,PostgreSQL;MySQL,Ruby;Kotlin,Online Courses or Certification;Colleague,107045.24
Master's,45-54 years old,Junior Developer,"5,000 to 9,999 employees",Yes,USD,48,50,46,In-person,Oracle;SQLite;MongoDB,Go;Ruby;C#,Books / Physical media;Online Courses or Certification,162151.69
High School,25-34 years old,Senior Developer,100-499 employees,No,USD,46,48,43,Hybrid,SQLite;PostgreSQL,Swift;Go,Online Courses or Certification;Other online resources,130649.37
High School,55+ years old,"Senior Executive (C-Suite, VP, etc.)","5,000 to 9,999 employees",No,GBP,4,8,0,Hybrid,PostgreSQL;MySQL,Java;C#;JavaScript;Ruby,Online Courses or Certification;Other online resources;Books / Physical media;Colleague,56537.92
PhD,55+ years old,Senior Developer,"1,000 to 4,999 employees",No,USD,1,3,0,Remote,MySQL,Go;C++,Books / Physical media;Other online resources,34599.89
Master's,18-24 years old,Student,"5,000 to 9,999 employees",Yes,INR,34,38,33,Hybrid,Oracle;SQLite;MySQL,JavaScript;Python;C#,Online Courses or Certification;Other online resources;Books / Physical media,129616.37
Bachelor's,25-34 years old,"Senior Executive (C-Suite, VP, etc.)","1,000 to 4,999 employees",No,EUR,46,46,41,In-person,MongoDB,Ruby;Python;Kotlin;C#,Other online resources,158637.29
High School,35-44 years old,Mid-level Developer,100-499 employees,No,INR,39,41,38,Hybrid,MongoDB;SQLite,C++;Kotlin;Swift,Books / Physical media;Other online resources,119993.53
High School,18-24 years old,Tech Lead,500-999 employees,No,GBP,47,48,43,Hybrid,MySQL,Java;JavaScript;C#;Swift,Books / Physical media;Other online resources;Colleague;Online Courses or Certification,155701.99
PhD,25-34 years old,Student,100-499 employees,No,EUR,28,28,27,In-person,Oracle,Ruby;Python;C++,Colleague;Other online resources;Books / Physical media,101602.8
Bachelor's,25-34 years old,Senior Developer,10-99 employees,No,INR,49,50,46,In-person,Oracle;PostgreSQL,C#,Books / Physical media;Online Courses or Certification,138416.88
High School,45-54 years old,Mid-level Developer,1-9 employees,Yes,INR,24,24,24,Remote,Oracle;MySQL,Go;JavaScript,Books / Physical media,88282.4
High School,55+ years old,Tech Lead,"10,000+ employees",No,USD,33,33,29,Hybrid,PostgreSQL;MySQL,JavaScript;C#;Go,Other online resources;Colleague,135761.87
Master's,35-44 years old,Student,"1,000 to 4,999 employees",No,GBP,37,42,34,In-person,PostgreSQL,C#;Kotlin;Swift;Ruby,Books / Physical media,125142.59
PhD,25-34 years old,Junior Developer,10-99 employees,No,EUR,45,48,40,Remote,MongoDB,Swift;Java;Ruby;C#,Colleague;Online Courses or Certification;Books / Physical media;Other online resources,150958.44
Master's,55+ years old,"Senior Executive (C-Suite, VP, etc.)",10-99 employees,Yes,EUR,9,9,8,In-person,PostgreSQL,C#;Java;Swift,Online Courses or Certification,82203.53
Bachelor's,55+ years old,Junior Developer,100-499 employees,Yes,GBP,31,36,28,Hybrid,PostgreSQL,C++;Kotlin;Python;C#,Other online resources,104362.72
Bachelor's,18-24 years old,"Senior Executive (C-Suite, VP, etc.)",500-999 employees,No,INR,44,47,39,In-person,Oracle;PostgreSQL;SQLite,Java;C#;Go,Books / Physical media;Colleague,150103.25
PhD,18-24 years old,Junior Developer,1-9 employees,No,USD,31,32,28,Hybrid,PostgreSQL;Oracle,C++;Python;Java,Colleague;Other online resources,114465.31
High School,25-34 years old,Mid-level Developer,"5,000 to 9,999 employees",Yes,INR,26,30,21,In-person,SQLite,C#;Ruby;Java,Online Courses or Certification;Books / Physical media,103108.58
High School,18-24 years old,Senior Developer,"1,000 to 4,999 employees",Yes,INR,8,12,4,In-person,PostgreSQL,JavaScript;C#;Go,Other online resources;Books / Physical media;Colleague;Online Courses or Certification,49741.53
Bachelor's,45-54 years old,Senior Developer,"10,000+ employees",No,USD,14,17,13,In-person,MySQL;Oracle;PostgreSQL,Go;Java,Books / Physical media,66834.85
Bachelor's,25-34 years old,Junior Developer,"1,000 to 4,999 employees",Yes,USD,32,36,31,Hybrid,SQLite;MySQL,Swift;JavaScript;Kotlin,Books / Physical media;Other online resources;Online Courses or Certification,105045.32
Bachelor's,45-54 years old,Senior Developer,"10,000+ employees",No,EUR,13,16,9,In-person,SQLite;PostgreSQL;MySQL,C++;Ruby;Go;C#,Books / Physical media;Online Courses or Certification;Other online resources,60847.18
High School,35-44 years old,Mid-level Developer,500-999 employees,No,USD,32,33,32,Remote,MongoDB,C++;Ruby,Online Courses or Certification;Colleague;Other online resources;Books / Physical media,95331.3
High School,35-44 years old,Senior Developer,100-499 employees,Yes,EUR,49,50,48,Hybrid,MongoDB;Oracle;SQLite,Ruby;JavaScript;Go,Books / Physical media;Online Courses or Certification,151201.6
High School,55+ years old,Junior Developer,"10,000+ employees",Yes,GBP,42,46,37,In-person,Oracle;MySQL;MongoDB,Go;Swift;Python,Other online resources;Books / Physical media,135137.09
PhD,25-34 years old,Student,"10,000+ employees",No,INR,10,13,8,Hybrid,MongoDB;PostgreSQL,JavaScript;C#,Other online resources,68903.52
PhD,35-44 years old,Tech Lead,500-999 employees,No,USD,38,40,37,Hybrid,MongoDB;SQLite,Ruby;C++;Java,Colleague;Online Courses or Certification,148788.8
PhD,45-54 years old,Junior Developer,500-999 employees,Yes,INR,4,8,2,Remote,PostgreSQL;MySQL;MongoDB,Python;Swift;Kotlin;C++,Colleague;Online Courses or Certification,47676.52
High School,25-34 years old,Student,100-499 employees,No,INR,33,33,30,Hybrid,SQLite;PostgreSQL,Ruby;C#;Go,Online Courses or Certification;Books / Physical media,100123.92
Bachelor's,35-44 years old,Tech Lead,"10,000+ employees",No,USD,27,30,23,Hybrid,MySQL,C#;Python,Colleague;Books / Physical media;Other online resources,120726.56
Bachelor's,25-34 years old,Tech Lead,100-499 employees,No,USD,15,15,11,Remote,MySQL;Oracle,Ruby;Go,Other online resources,80898.98
Master's,45-54 years old,Mid-level Developer,"5,000 to 9,999 employees",No,GBP,39,42,36,Remote,MongoDB,Ruby;Python,Books / Physical media;Colleague;Other online resources;Online Courses or Certification,135957.93
PhD,25-34 years old,Mid-level Developer,10-99 employees,Yes,USD,25,30,22,In-person,MySQL;PostgreSQL;MongoDB,Kotlin;JavaScript;Java;Go,Other online resources,100260.16
Master's,35-44 years old,Student,1-9 employees,No,USD,14,14,13,In-person,MongoDB;Oracle,Ruby;Java;Go;C#,Colleague,64009.92
High School,25-34 years old,Mid-level Developer,1-9 employees,No,EUR,29,34,29,In-person,SQLite,Swift;C++,Other online resources,87655.02
Master's,55+ years old,Mid-level Developer,"1,000 to 4,999 employees",No,USD,46,50,43,Hybrid,PostgreSQL;Oracle;MySQL,Go,Online Courses or Certification;Colleague,147884.37
Bachelor's,45-54 years old,"Senior Executive (C-Suite, VP, etc.)",10-99 employees,No,EUR,18,20,17,Remote,MySQL;PostgreSQL;MongoDB,Python;Swift;Kotlin,Books / Physical media;Colleague,80566.77
PhD,45-54 years old,Senior Developer,10-99 employees,No,EUR,30,30,26,In-person,MySQL;PostgreSQL,Python;Swift;JavaScript;C++,Other online resources;Online Courses or Certification,113715.72
Bachelor's,35-44 years old,Junior Developer,"1,000 to 4,999 employees",No,INR,11,13,10,Hybrid,SQLite;MongoDB,Go;JavaScript;Python;Kotlin,Books / Physical media;Other online resources;Colleague,44013.43
PhD,18-24 years old,Junior Developer,500-999 employees,Yes,USD,44,49,42,In-person,MySQL,C#;Python;Swift;Ruby,Colleague;Online Courses or Certification;Other online resources,150612.46
High School,55+ years old,Tech Lead,100-499 employees,No,EUR,4,6,3,Hybrid,PostgreSQL;MySQL;Oracle,Go;Java,Colleague;Books / Physical media;Online Courses or Certification;Other online resources,52920.22
High School,25-34 years old,Senior Developer,10-99 employees,Yes,GBP,29,31,28,Hybrid,MongoDB;SQLite;Oracle,C#;Kotlin;C++,Colleague;Online Courses or Certification,96155.76
Bachelor's,18-24 years old,Senior Developer,"1,000 to 4,999 employees",No,GBP,30,33,28,Hybrid,SQLite,Java,Other online resources,98706.45
Bachelor's,18-24 years old,"Senior Executive (C-Suite, VP, etc.)",10-99 employees,Yes,EUR,21,25,21,In-person,Oracle;SQLite,Ruby,Books / Physical media;Colleague;Other online resources,97509.05
High School,25-34 years old,Senior Developer,"1,000 to 4,999 employees",No,GBP,41,46,40,Remote,PostgreSQL,JavaScript,Online Courses or Certification;Other online resources;Books / Physical media,126501.82
PhD,45-54 years old,Junior Developer,"5,000 to 9,999 employees",Yes,GBP,47,48,42,Hybrid,MySQL;SQLite;Oracle,Python;Ruby,Online Courses or Certification;Colleague,170225.24
Master's,55+ years old,Student,10-99 employees,Yes,INR,12,16,10,In-person,MongoDB,C#;Swift;JavaScript,Books / Physical media;Online Courses or Certification,62467.12
High School,35-44 years old,Student,"10,000+ employees",Yes,GBP,18,21,18,Hybrid,MongoDB;MySQL;SQLite,C#;Ruby;Java;C++,Other online resources;Books / Physical media;Colleague,82599.5
Bachelor's,55+ years old,Tech Lead,500-999 employees,Yes,USD,38,42,37,Remote,SQLite;Oracle,C++;JavaScript;Swift,Colleague,140146.06
Bachelor's,25-34 years old,"Senior Executive (C-Suite, VP, etc.)",10-99 employees,Yes,GBP,39,39,35,In-person,Oracle;MySQL,Kotlin;Swift,Online Courses or Certification;Books / Physical media;Other online resources;Colleague,138729.1
PhD,18-24 years old,Tech Lead,"1,000 to 4,999 employees",No,EUR,19,21,15,Remote,SQLite;Oracle;MySQL,Kotlin;Java;C#;C++,Colleague;Books / Physical media;Other online resources;Online Courses or Certification,100375.0
PhD,18-24 years old,Tech Lead,"10,000+ employees",No,EUR,28,30,27,Remote,SQLite;MongoDB,Go,Books / Physical media;Colleague;Other online resources,130024.81
PhD,45-54 years old,Mid-level Developer,500-999 employees,No,USD,17,18,13,Hybrid,MongoDB,Ruby;JavaScript;Java,Online Courses or Certification;Other online resources;Colleague,75472.63
Bachelor's,45-54 years old,Mid-level Developer,10-99 employees,Yes,INR,28,31,27,In-person,MySQL,Ruby;Python,Colleague;Other online resources,97152.11
Bachelor's,18-24 years old,Tech Lead,"5,000 to 9,999 employees",Yes,INR,44,45,39,Remote,Oracle;MySQL,JavaScript;Python;Ruby,Books / Physical media,167169.21
PhD,35-44 years old,Tech Lead,"10,000+ employees",Yes,INR,28,28,28,Hybrid,PostgreSQL;MongoDB,C#,Online Courses or Certification,142948.27
Master's,55+ years old,Tech Lead,100-499 employees,No,INR,25,29,23,Remote,MongoDB;SQLite,Go,Other online resources;Colleague;Online Courses or Certification,116247.63
High School,35-44 years old,"Senior Executive (C-Suite, VP, etc.)","5,000 to 9,999 employees",No,GBP,41,41,37,In-person,PostgreSQL,Swift;Go;Kotlin,Colleague;Other online resources;Online Courses or Certification;Books / Physical media,149698.29
Bachelor's,45-54 years old,Tech Lead,100-499 employees,No,EUR,37,38,35,In-person,SQLite;MongoDB;MySQL,Go;Python;Java;C++,Online Courses or Certification;Other online resources,130178.06
Bachelor's,45-54 years old,"Senior Executive (C-Suite, VP, etc.)",500-999 employees,No,INR,44,45,42,Remote,MongoDB,JavaScript,Books / Physical media;Other online resources,148196.71
Master's,25-34 years old,Student,100-499 employees,No,USD,13,15,12,Remote,SQLite;Oracle,Python;Java;Kotlin,Online Courses or Certification;Colleague;Books / Physical media,59169.65
High School,35-44 years old,Senior Developer,"10,000+ employees",No,GBP,5,6,2,In-person,SQLite;MongoDB;PostgreSQL,Ruby,Colleague;Online Courses or Certification,40872.53
PhD,55+ years old,Senior Developer,"5,000 to 9,999 employees",No,EUR,48,50,44,In-person,MySQL;SQLite,Java;Go,Books / Physical media;Other online resources;Colleague,165746.91
Master's,18-24 years old,Mid-level Developer,"5,000 to 9,999 employees",No,INR,9,13,9,Remote,PostgreSQL,Kotlin;Java,Other online resources;Online Courses or Certification,64912.29
High School,25-34 years old,Junior Developer,10-99 employees,No,EUR,26,31,26,Remote,Oracle;MySQL,Kotlin;C++,Books / Physical media;Other online resources,80780.49
PhD,35-44 years old,Mid-level Developer,"1,000 to 4,999 employees",No,USD,20,25,20,Hybrid,MySQL;MongoDB,Swift,Other online resources;Online Courses or Certification,84529.0
High School,55+ years old,"Senior Executive (C-Suite, VP, etc.)",500-999 employees,Yes,EUR,12,16,10,Hybrid,MongoDB,Go;JavaScript,Online Courses or Certification;Books / Physical media;Other online resources,74045.71
PhD,55+ years old,"Senior Executive (C-Suite, VP, etc.)",500-999 employees,No,INR,23,28,22,Remote,MySQL,JavaScript;C++;Java,Colleague;Online Courses or Certification;Books / Physical media,115856.39
PhD,35-44 years old,Junior Developer,100-499 employees,No,GBP,50,50,47,In-person,Oracle;PostgreSQL;MongoDB,Java;JavaScript,Colleague;Online Courses or Certification,155193.57
Bachelor's,45-54 years old,Student,500-999 employees,Yes,INR,47,48,44,Hybrid,MongoDB;Oracle,Kotlin;Swift;C++;Ruby,Books / Physical media,144288.8
High School,55+ years old,Student,"10,000+ employees",Yes,GBP,34,38,33,In-person,PostgreSQL,Ruby;Kotlin;Java;Python,Books / Physical media,124908.81
Bachelor's,35-44 years old,Junior Developer,1-9 employees,Yes,EUR,21,24,18,Remote,Oracle,Swift;Ruby;Kotlin;Python,Other online resources;Online Courses or Certification;Colleague,82223.34
PhD,18-24 years old,"Senior Executive (C-Suite, VP, etc.)","5,000 to 9,999 employees",No,GBP,8,12,6,Hybrid,Oracle,Kotlin;C++;Python;Java,Colleague,85111.23
Bachelor's,18-24 years old,Mid-level Developer,"1,000 to 4,999 employees",No,INR,36,36,33,Remote,SQLite;MySQL;Oracle,Python;JavaScript;Ruby,Books / Physical media;Colleague,106663.33
High School,35-44 years old,Student,10-99 employees,Yes,INR,3,4,0,Hybrid,PostgreSQL;SQLite,C#,Online Courses or Certification;Other online resources;Colleague,28879.81
High School,45-54 years old,Junior Developer,100-499 employees,No,EUR,12,12,9,Hybrid,MySQL;Oracle;MongoDB,Ruby;Kotlin;Swift;C++,Colleague;Other online resources;Online Courses or Certification;Books / Physical media,48443.26
Master's,45-54 years old,Mid-level Developer,1-9 employees,Yes,EUR,5,10,1,Hybrid,Oracle;SQLite,Kotlin;Go;Java,Colleague;Online Courses or Certification,46260.71
Bachelor's,45-54 years old,Student,1-9 employees,Yes,INR,47,49,46,Remote,MySQL,JavaScript,Online Courses or Certification,141949.83
Bachelor's,35-44 years old,Senior Developer,100-499 employees,No,GBP,28,31,25,In-person,SQLite,Go;JavaScript;Ruby,Colleague;Online Courses or Certification;Other online resources;Books / Physical media,88962.58
Bachelor's,55+ years old,Junior Developer,100-499 employees,Yes,INR,24,27,23,Remote,Oracle,Python,Other online resources,82993.76
Bachelor's,35-44 years old,Junior Developer,"1,000 to 4,999 employees",Yes,USD,29,31,26,In-person,MongoDB;PostgreSQL,C++;Swift;C#;Python,Books / Physical media;Other online resources;Online Courses or Certification,100847.35
Bachelor's,18-24 years old,"Senior Executive (C-Suite, VP, etc.)",500-999 employees,No,EUR,10,15,8,Remote,MySQL,Swift,Books / Physical media;Colleague;Online Courses or Certification,61164.71
High School,55+ years old,Student,100-499 employees,No,USD,43,45,38,In-person,PostgreSQL,Go;Java,Other online resources,127555.66
Bachelor's,18-24 years old,Student,"1,000 to 4,999 employees",No,USD,3,6,2,In-person,PostgreSQL,JavaScript;C#,Other online resources;Online Courses or Certification;Books / Physical media,32235.76
Bachelor's,35-44 years old,Tech Lead,1-9 employees,No,EUR,2,2,0,Remote,Oracle;MySQL;PostgreSQL,Kotlin,Books / Physical media,48294.49
High School,55+ years old,Tech Lead,10-99 employees,No,GBP,18,22,16,Hybrid,SQLite;MySQL;MongoDB,C#,Online Courses or Certification;Other online resources,81615.16
Master's,35-44 years old,"Senior Executive (C-Suite, VP, etc.)","5,000 to 9,999 employees",Yes,EUR,39,40,34,Hybrid,PostgreSQL;MySQL,Python;Kotlin,Other online resources;Colleague,166015.9
Master's,35-44 years old,Mid-level Developer,"10,000+ employees",Yes,USD,2,4,0,Hybrid,Oracle;PostgreSQL;MySQL,Ruby;JavaScript;Python;C#,Books / Physical media;Other online resources;Colleague,54929.71
High School,55+ years old,Junior Developer,"1,000 to 4,999 employees",No,USD,21,21,19,In-person,SQLite;PostgreSQL,Kotlin;Java,Other online resources;Books / Physical media,69974.79
PhD,25-34 years old,Tech Lead,"1,000 to 4,999 employees",Yes,GBP,24,28,21,Remote,Oracle,Java;Kotlin,Other online resources;Online Courses or Certification;Colleague;Books / Physical media,119965.51
PhD,18-24 years old,Junior Developer,"1,000 to 4,999 employees",No,INR,8,13,7,In-person,MySQL;MongoDB,Java;Kotlin,Other online resources;Online Courses or Certification,58642.27
Master's,55+ years old,Mid-level Developer,100-499 employees,No,GBP,40,40,38,Hybrid,PostgreSQL,Ruby,Other online resources,128872.24
Master's,18-24 years old,"Senior Executive (C-Suite, VP, etc.)",500-999 employees,Yes,EUR,0,3,0,Hybrid,Oracle;MySQL,Java,Other online resources;Books / Physical media,56713.2
High School,35-44 years old,Tech Lead,"10,000+ employees",Yes,USD,3,8,0,In-person,MongoDB,Python;JavaScript,Books / Physical media;Other online resources;Online Courses or Certification;Colleague,67296.44
PhD,45-54 years old,Student,100-499 employees,Yes,GBP,23,23,20,Hybrid,MySQL,Swift;Python,Books / Physical media;Online Courses or Certification,96240.02
High School,45-54 years old,Mid-level Developer,"5,000 to 9,999 employees",No,EUR,28,33,27,In-person,Oracle,JavaScript;Kotlin;C++;C#,Books / Physical media,103286.32
High School,55+ years old,Tech Lead,500-999 employees,Yes,GBP,12,12,9,Remote,PostgreSQL;Oracle,Ruby,Colleague;Books / Physical media,77393.97
High School,35-44 years old,Senior Developer,100-499 employees,No,INR,2,7,0,In-person,PostgreSQL;MongoDB;Oracle,Java;C++,Other online resources;Books / Physical media;Online Courses or Certification,28019.43
Master's,35-44 years old,Tech Lead,"1,000 to 4,999 employees",Yes,INR,39,41,35,Remote,Oracle;MySQL;PostgreSQL,Ruby,Colleague;Other online resources;Books / Physical media;Online Courses or Certification,153519.99
Bachelor's,45-54 years old,"Senior Executive (C-Suite, VP, etc.)","5,000 to 9,999 employees",Yes,GBP,23,24,20,Hybrid,Oracle;SQLite;MySQL,C++,Other online resources;Books / Physical media,112903.91
High School,45-54 years old,Mid-level Developer,"5,000 to 9,999 employees",Yes,GBP,13,13,12,Remote,PostgreSQL;Oracle;MySQL,Ruby;Go;Kotlin,Colleague;Online Courses or Certification;Books / Physical media;Other online resources,72319.42
PhD,18-24 years old,Mid-level Developer,"10,000+ employees",No,USD,43,46,39,In-person,MongoDB,Kotlin;Python;Swift;Java,Online Courses or Certification;Colleague;Other online resources;Books / Physical media,153066.97
Bachelor's,25-34 years old,Junior Developer,"1,000 to 4,999 employees",Yes,EUR,20,22,16,In-person,Oracle,Swift;Java,Other online resources,71210.37
Bachelor's,35-44 years old,Senior Developer,100-499 employees,Yes,INR,19,21,15,In-person,Oracle,Go;C#;Ruby;Kotlin,Books / Physical media;Other online resources,69530.09
High School,45-54 years old,Tech Lead,"5,000 to 9,999 employees",No,EUR,43,48,42,Remote,PostgreSQL,Kotlin;C#;Python;Swift,Other online resources;Books / Physical media,153946.12
PhD,25-34 years old,Mid-level Developer,"10,000+ employees",No,GBP,33,33,28,Hybrid,MySQL,C++;JavaScript;Ruby;Java,Colleague;Online Courses or Certification;Other online resources,131656.82
Bachelor's,25-34 years old,Mid-level Developer,1-9 employees,Yes,USD,37,41,35,In-person,Oracle;MongoDB;SQLite,JavaScript;Java,Other online resources;Books / Physical media;Colleague;Online Courses or Certification,115935.34
Bachelor's,45-54 years old,Tech Lead,"1,000 to 4,999 employees",Yes,EUR,49,50,49,In-person,Oracle,Go;Python;Kotlin,Colleague;Online Courses or Certification;Other online resources,162599.81
PhD,45-54 years old,Student,"1,000 to 4,999 employees",No,GBP,47,47,44,Hybrid,MySQL;PostgreSQL,C++;Swift;Python,Colleague,148506.44
High School,25-34 years old,Mid-level Developer,"5,000 to 9,999 employees",No,EUR,33,34,30,Remote,PostgreSQL,C++;Java;Swift,Colleague;Books / Physical media;Online Courses or Certification;Other online resources,107611.98
High School,18-24 years old,Tech Lead,1-9 employees,Yes,USD,11,13,11,Remote,PostgreSQL,JavaScript,Online Courses or Certification;Books / Physical media,71217.84
Master's,25-34 years old,"Senior Executive (C-Suite, VP, etc.)",100-499 employees,No,INR,48,49,46,Remote,MySQL,Go,Other online resources;Colleague,171467.02
Bachelor's,18-24 years old,Mid-level Developer,10-99 employees,No,USD,13,17,11,In-person,MongoDB;MySQL,Go;Java,Online Courses or Certification;Other online resources;Books / Physical media;Colleague,56988.38
